Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.78     0.00      128     0.00     0.00  DRAMSim::PIMRank::setRankId(int)
  0.00      1.78     0.00      128     0.00     0.00  DRAMSim::PIMRank::PIMRank(std::ostream&, DRAMSim::Configuration&)
  0.00      1.78     0.00      128     0.00     0.00  void std::vector<DRAMSim::Rank*, std::allocator<DRAMSim::Rank*> >::_M_emplace_back_aux<DRAMSim::Rank* const&>(DRAMSim::Rank* const&)
  0.00      1.78     0.00      128     0.00     0.00  void std::vector<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >, std::allocator<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > > >::_M_emplace_back_aux<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > const&>(std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > const&)
  0.00      1.78     0.00      128     0.00     0.00  void std::vector<std::vector<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >, std::allocator<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > > >, std::allocator<std::vector<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >, std::allocator<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > > > > >::_M_emplace_back_aux<std::vector<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >, std::allocator<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > > > const&>(std::vector<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> >, std::allocator<std::vector<DRAMSim::BusPacket*, std::allocator<DRAMSim::BusPacket*> > > > const&)
  0.00      1.78     0.00      128     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, unsigned int>, std::_Select1st<std::pair<unsigned int const, unsigned int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned int const, unsigned int> >*)
  0.00      1.78     0.00      106     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, DRAMSim::_ConfigurationData>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, DRAMSim::_ConfigurationData> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, DRAMSim::_ConfigurationData>, true>*)
  0.00      1.78     0.00      106     0.00     0.00  std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, DRAMSim::_ConfigurationData>, true>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, DRAMSim::_ConfigurationData>, true> > >::_M_allocate_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, DRAMSim::_ConfigurationData> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, DRAMSim::_ConfigurationData>&&)
  0.00      1.78     0.00       93     0.00     0.00  std::function<bool (char)>::function(std::function<bool (char)> const&)
  0.00      1.78     0.00       74     0.00     0.00  PIMKernel::addTransactionAll(bool, int, int, int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, DRAMSim::BurstType*, bool, int)
